name,lat,long
Ibusuki Volc Field,31.22,130.57
Ichinsky,55.68,157.73
Iettunup,58.4,161.08
Igwisi Hills,-4.87,31.92
Ijen,-8.058,114.242
Iktunup,58.08,160.77
Iliamna,60.03,-153.08
Iliboleng,-8.342,123.258
Ililabalekan,-8.53,123.42
Ilimuda,-8.478,122.671
Iliwerung,-8.54,123.59
Illiniza,-0.659,-78.714
Ilopango,13.672,-89.053
Ilyinsky,51.49,157.2
Imun,2.15,98.93
Imuruk Lake,65.6,-163.92
In Ezzane Volc Field,23,10.833
Indian Heaven,45.93,-121.82
Ingakslugwat Hills,61.43,-164.47
Inielika,-8.73,120.98
Inierie,-8.875,120.95
Inyo Craters,37.692,-119.02
Ipala Volc Field,14.55,-89.63
Iraya,20.469,122.01
Irazu,9.979,-83.852
Iriga,13.457,123.457
Iriomote-jima,24.558,124
Irruputuncu,-20.73,-68.55
Isanotski,54.75,-163.73
Isarog,13.658,123.37
Ischia,40.73,13.897
Iskut-Unuk River Cones,56.58,-130.55
Isluga,-19.15,-68.83
Itasy Volc Field,-19,46.77
"Ithnayn, Harrat",26.58,40.2
Ivao Group,45.77,149.68
Iwaki,40.65,140.3
Iwate,39.85,141
Iwo-Tori-shima,27.85,128.25
Iwo-jima,24.75,141.33
Ixtepeque,14.42,-89.68
Iya,-8.88,121.63
Iyang-Argapura,-7.97,113.57
Izalco,13.813,-89.633
Iztaccihuatl,19.179,-98.642
Izu-Tobu,34.92,139.12
Izumbwe-Mpoli,-8.93,33.4
Jailolo,1.08,127.42
Jalajala,14.35,121.33
Jalua,15.042,39.82
Jan Mayen,71.08,-8.17
Jaraguay Volc Field,29.33,-114.5
"Jayu Khota, Laguna",-19.45,-67.417
Jefferson,44.692,-121.8
Jingpohu,44.08,128.83
Jocotitlan,19.733,-99.758
Jocotitlan,19.724,-99.757
Jordan Craters,43.03,-117.42
"Joya, La",11.92,-85.98
Kaba,-3.52,102.62
Kabargin Oth Group,42.55,44
Kadovar,-3.62,144.62
Kagamil,52.97,-169.72
Kaguyak,58.62,-154.05
Kaikata Seamount,26.667,141
Kaikohe-Bay of Islands,-35.3,173.9
Kaileney,57.8,160.67
Kaitoku Seamount,26.122,141.102
Kalatungan,7.95,124.8
Kambalny,51.3,156.87
Kamen,56.02,160.593
Kana Keoki,-8.75,157.03
Kanaga,51.92,-177.17
Kanlaon,10.412,123.132
Kao,-19.667,-175.033
Karacalidag,37.67,39.83
"Karaha, Kawah",-7.12,108.08
Karang,-6.27,106.042
Karangetang [Api Siau],2.78,125.48
Karapinar Field,37.67,33.65
Karisimbi,-1.5,29.45
Karkar,-4.649,145.964
Karpinsky Group,50.13,155.37
Kars Plateau,40.75,42.9
Karthala,-11.75,43.38
Karymsky,54.05,159.43
Kasatochi,52.18,-175.5
Kasbek,42.7,44.5
Kasuga,21.77,143.72
Katla,63.63,-19.05
Katmai,58.27,-154.98
Katunga,-0.47,30.18
Katwe-Kikorongo Field,-0.08,29.92
Kavachi,-9.02,157.95
Kawi-Butak,-7.92,112.45
Kebeney,57.1,159.93
Kekurny,56.4,158.85
Kelimutu,-8.758,121.83
Kell,51.65,157.35
Keluo Group,49.37,125.92
Kelut,-7.93,112.308
Kendang,-7.23,107.72
Kerguelen Islands,-49.58,69.5
Kerinci,-1.814,101.264
Ketoi,47.35,152.475
Khangar,54.75,157.38
Khanuy Gol,48.67,102.75
Kharimkotan,49.12,154.508
"Khaybar, Harrat",25,39.92
Khodutka,52.063,157.703
Kialagvik,57.38,-156.75
Kiaraberes-Gagak,-6.73,106.65
Kick-'em-Jenny,12.3,-61.63
Kieyo,-9.23,33.78
Kikai,30.78,130.28
Kikhpinych,54.487,160.253
